Model,Experiment_ID,Five-shot prompt,Zero-shot CoT prompt,Generated Knowledge prompt,Meta prompt
Gemini 2.0 Flash,0.0,0.9,1.0,0.9,1.2
Gemini 2.0 Flash,1.0,1.0,1.1,0.8,0.9
Gemini 2.0 Flash,2.0,1.1,0.9,0.9,1.0
Gemini 2.0 Flash,3.0,1.1,1.0,1.0,1.0
Gemini 2.0 Flash,4.0,1.1,1.0,1.0,1.1
Gemini 2.0 Flash-Lite,0.0,1.0,1.2,1.1,1.2
Gemini 2.0 Flash-Lite,1.0,1.1,1.2,1.2,1.3
Gemini 2.0 Flash-Lite,2.0,1.2,1.0,1.3,1.0
Gemini 2.0 Flash-Lite,3.0,1.2,1.3,1.3,1.2
Gemini 2.0 Flash-Lite,4.0,1.2,1.2,1.2,1.1
Gemini 1.5 Flash,0.0,1.0,1.5,1.0,1.2
Gemini 1.5 Flash,1.0,1.0,1.5,1.1,1.4
Gemini 1.5 Flash,2.0,1.0,1.5,1.2,1.2
Gemini 1.5 Flash,3.0,1.1,1.3,1.1,1.2
Gemini 1.5 Flash,4.0,1.0,1.4,1.1,1.3
