Meta prompt,Generated Knowledge prompt,Zero-shot CoT prompt,Five-shot prompt
3.0,3.8,3.8,3.6
3.0,3.6,4.0,4.2
3.0,3.2,4.0,3.6
3.0,3.4,3.2,4.2
3.0,3.8,3.8,4.6
3.0,3.6,3.8,3.0
3.0,3.0,3.0,3.4
3.0,3.0,3.2,3.8
2.6,3.0,2.6,3.8
3.0,3.4,3.8,3.8
3.0,3.0,3.2,3.0
3.0,3.0,3.8,3.0
3.0,3.0,2.8,3.0
3.0,3.8,3.4,4.4
3.2,3.2,3.0,3.0
3.0,3.0,2.8,3.0
3.0,3.2,3.6,4.0
3.0,3.2,3.4,3.0
3.2,2.8,3.4,3.8
3.2,3.4,3.6,4.0
3.2,4.0,3.8,4.6
3.0,3.8,3.8,4.4
3.0,3.4,4.2,4.0
3.0,2.8,3.2,3.8
3.0,3.0,3.8,3.8
2.8,3.2,2.8,2.4
2.4,2.8,3.0,3.4
3.0,4.2,2.8,4.2
