url_blog,engagement_level
https://www.deepmind.com/blog/discovering-novel-algorithms-with-alphatensor,Good
https://www.deepmind.com/blog/alphadev-discovers-faster-sorting-algorithms,Average
https://www.deepmind.com/blog/stacking-our-way-to-more-general-robots,Average
https://www.deepmind.com/blog/from-motor-control-to-embodied-intelligence,Good
https://www.deepmind.com/blog/robocat-a-self-improving-robotic-agent,Average
https://deepmind.com/blog/article/neural-approach-relational-reasoning,Good
https://www.deepmind.com/blog/rt-2-new-model-translates-vision-and-language-into-action,Good
https://www.deepmind.com/blog/exploring-the-beauty-of-pure-mathematics-in-novel-ways,Average
https://www.deepmind.com/blog/differentiable-neural-computers,Good
https://www.deepmind.com/blog/scaling-up-learning-across-many-different-robot-types,Very Good
https://www.deepmind.com/blog/learning-through-human-feedback,Average
https://www.deepmind.com/blog/exploring-institutions-for-global-ai-governance,Average
https://www.deepmind.com/blog/how-undesired-goals-can-arise-with-correct-rewards,Good
https://www.deepmind.com/blog/measuring-perception-in-ai-models,Excellent
https://www.deepmind.com/blog/challenges-in-detoxifying-language-models,Good
https://www.deepmind.com/blog/perceiver-ar-general-purpose-long-context-autoregressive-generation/,Good
https://www.deepmind.com/blog/intuitive-physics-learning-in-a-deep-learning-model-inspired-by-developmental-psychology,Good
https://www.deepmind.com/blog/language-modelling-at-scale-gopher-ethical-considerations-and-retrieval,Average
https://www.deepmind.com/blog/gophercite-teaching-language-models-to-support-answers-with-verified-quotes,Good
https://www.deepmind.com/blog/alphamissense-catalogue-of-genetic-mutations-to-help-pinpoint-the-cause-of-diseases,Good
https://deepmind.com/blog/article/Using-WaveNet-technology-to-reunite-speech-impaired-users-with-their-original-voices,Good
https://www.deepmind.com/blog/mastering-stratego-the-classic-game-of-imperfect-information,Good
https://www.deepmind.com/blog/codoc-developing-reliable-ai-tools-for-healthcare,Good
https://www.deepmind.com/blog/evaluating-social-and-ethical-risks-from-generative-ai,Good
https://www.deepmind.com/blog/ferminet-quantum-physics-and-chemistry-from-first-principles,Good
https://www.deepmind.com/blog/scalable-agent-architecture-for-distributed-training,Good
https://www.deepmind.com/blog/acme-a-new-framework-for-distributed-reinforcement-learning,Average
https://www.deepmind.com/blog/enabling-high-accuracy-protein-structure-prediction-at-the-proteome-scale,Good
