Model,Experiment_ID,Five-shot prompt,Zero-shot CoT prompt,Generated Knowledge prompt,Meta prompt
Gemini 2.0 Flash,0.0,1.5,1.4,1.5,1.3
Gemini 2.0 Flash,1.0,1.5,1.5,1.4,1.4
Gemini 2.0 Flash,2.0,1.5,1.3,1.5,1.3
Gemini 2.0 Flash,3.0,1.5,1.6,1.5,1.3
Gemini 2.0 Flash,4.0,1.5,1.4,1.4,1.3
Gemini 2.0 Flash-Lite,0.0,1.4,1.6,1.5,1.5
Gemini 2.0 Flash-Lite,1.0,1.5,1.6,1.5,1.5
Gemini 2.0 Flash-Lite,2.0,1.5,1.5,1.4,1.4
Gemini 2.0 Flash-Lite,3.0,1.4,1.5,1.6,1.3
Gemini 2.0 Flash-Lite,4.0,1.4,1.6,1.5,1.3
Gemini 1.5 Flash,0.0,1.5,2.0,1.4,1.7
Gemini 1.5 Flash,1.0,1.4,2.0,1.4,1.8
Gemini 1.5 Flash,2.0,1.6,2.0,1.6,1.8
Gemini 1.5 Flash,3.0,1.5,2.1,1.3,1.6
Gemini 1.5 Flash,4.0,1.5,2.0,1.4,1.6
